id,prefabName,prefabPath,specPath,sourcePrototypePng,unityFolder,targetAssetPath,module,nodeExpression,x,y,width,height,sliceFile,noSlice,nineSlice,dynamicTextPreserved,allowCreateOrRename,hitStatus,hitTarget,anchor,sizeDelta,anchoredPosition,backflowMode,textPolicy
AnnouncementUI_AnnouncementPanel#01,AnnouncementUI_AnnouncementPanel,Assets/Prefabs/UI/Panels/AnnouncementUI_AnnouncementPanel.prefab,docs/AnnouncementUI_AnnouncementPanel/ui_asset_slicing_backflow_AnnouncementUI_AnnouncementPanel.md,docs/AnnouncementUI_AnnouncementPanel/ui_layout_prototype_AnnouncementUI_AnnouncementPanel.png,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/ui_AnnouncementUI_AnnouncementPanel__01_CanvasGroup.png,暗化游戏背景,`CanvasGroup`,0,0,1080,1920,ui_AnnouncementUI_AnnouncementPanel__01_CanvasGroup.png,false,true,false,true,施工目标需创建/改名,-,Center,"1080,1920","0,0",切透明 PNG，建议九宫格 Sprite，Image Type=Sliced,静态装饰可烘焙；动态数字/昵称/状态不要烘焙
AnnouncementUI_AnnouncementPanel#02,AnnouncementUI_AnnouncementPanel,Assets/Prefabs/UI/Panels/AnnouncementUI_AnnouncementPanel.prefab,docs/AnnouncementUI_AnnouncementPanel/ui_asset_slicing_backflow_AnnouncementUI_AnnouncementPanel.md,docs/AnnouncementUI_AnnouncementPanel/ui_layout_prototype_AnnouncementUI_AnnouncementPanel.png,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/ui_AnnouncementUI_AnnouncementPanel__02_MainText_bg.png,主公告标题,`MainText`,120,690,840,118,ui_AnnouncementUI_AnnouncementPanel__02_MainText_bg.png,false,false,true,false,现有节点命中,MainText,Center,"840,118","0,211",保留 TMP/按钮文字动态层；只切底板、图标或装饰,文字不烘焙进切图，继续由 TMP/脚本字段驱动
AnnouncementUI_AnnouncementPanel#03,AnnouncementUI_AnnouncementPanel,Assets/Prefabs/UI/Panels/AnnouncementUI_AnnouncementPanel.prefab,docs/AnnouncementUI_AnnouncementPanel/ui_asset_slicing_backflow_AnnouncementUI_AnnouncementPanel.md,docs/AnnouncementUI_AnnouncementPanel/ui_layout_prototype_AnnouncementUI_AnnouncementPanel.png,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/ui_AnnouncementUI_AnnouncementPanel__03_SubText_bg.png,副标题说明,`SubText`,170,820,740,72,ui_AnnouncementUI_AnnouncementPanel__03_SubText_bg.png,false,false,true,false,现有节点命中,SubText,Center,"740,72","0,104",保留 TMP/按钮文字动态层；只切底板、图标或装饰,文字不烘焙进切图，继续由 TMP/脚本字段驱动
AnnouncementUI_AnnouncementPanel#04,AnnouncementUI_AnnouncementPanel,Assets/Prefabs/UI/Panels/AnnouncementUI_AnnouncementPanel.prefab,docs/AnnouncementUI_AnnouncementPanel/ui_asset_slicing_backflow_AnnouncementUI_AnnouncementPanel.md,docs/AnnouncementUI_AnnouncementPanel/ui_layout_prototype_AnnouncementUI_AnnouncementPanel.png,Assets/Art/UI/Generated/AnnouncementUI_AnnouncementPanel/,,淡出安全区,`Animation`,250,930,580,90,-,true,false,false,false,安全区/表现参考,-,Center,"580,90","0,-15",不单独切图；作为游戏画面/安全区参考,无文案切图
BossRushBanner#01,BossRushBanner,Assets/Prefabs/UI/Panels/BossRushBanner.prefab,docs/BossRushBanner/ui_asset_slicing_backflow_BossRushBanner.md,docs/BossRushBanner/ui_layout_prototype_BossRushBanner.png,Assets/Art/UI/Generated/BossRushBanner/,,游戏画面安全区,`SceneSafeArea`,40,360,1000,1120,-,true,false,false,false,安全区/表现参考,-,Center,"1000,1120","0,40",不单独切图；作为游戏画面/安全区参考,无文案切图
BossRushBanner#02,BossRushBanner,Assets/Prefabs/UI/Panels/BossRushBanner.prefab,docs/BossRushBanner/ui_asset_slicing_backflow_BossRushBanner.md,docs/BossRushBanner/ui_layout_prototype_BossRushBanner.png,Assets/Art/UI/Generated/BossRushBanner/,Assets/Art/UI/Generated/BossRushBanner/ui_BossRushBanner__02_Content.png,Boss 横幅主体,`Content`,70,130,940,230,ui_BossRushBanner__02_Content.png,false,true,false,false,现有节点命中,Content,TopCenter,"940,230","0,715",切透明 PNG，建议九宫格 Sprite，Image Type=Sliced,静态装饰可烘焙；动态数字/昵称/状态不要烘焙
BossRushBanner#03,BossRushBanner,Assets/Prefabs/UI/Panels/BossRushBanner.prefab,docs/BossRushBanner/ui_asset_slicing_backflow_BossRushBanner.md,docs/BossRushBanner/ui_layout_prototype_BossRushBanner.png,Assets/Art/UI/Generated/BossRushBanner/,Assets/Art/UI/Generated/BossRushBanner/ui_BossRushBanner__03_TitleText_bg.png,标题,`TitleText`,125,160,570,58,ui_BossRushBanner__03_TitleText_bg.png,false,false,true,false,现有节点命中,TitleText,TopCenter,"570,58","-130,771",保留 TMP/按钮文字动态层；只切底板、图标或装饰,文字不烘焙进切图，继续由 TMP/脚本字段驱动
BossRushBanner#04,BossRushBanner,Assets/Prefabs/UI/Panels/BossRushBanner.prefab,docs/BossRushBanner/ui_asset_slicing_backflow_BossRushBanner.md,docs/BossRushBanner/ui_layout_prototype_BossRushBanner.png,Assets/Art/UI/Generated/BossRushBanner/,Assets/Art/UI/Generated/BossRushBanner/ui_BossRushBanner__04_BossHpBar.png,血量条,`BossHpBar`,125,245,620,38,ui_BossRushBanner__04_BossHpBar.png,false,false,false,false,现有节点命中,BossHpBar,TopCenter,"620,38","-105,696",切透明 PNG，按 Image.sprite 回填,静态装饰可烘焙；动态数字/昵称/状态不要烘焙
BossRushBanner#05,BossRushBanner,Assets/Prefabs/UI/Panels/BossRushBanner.prefab,docs/BossRushBanner/ui_asset_slicing_backflow_BossRushBanner.md,docs/BossRushBanner/ui_layout_prototype_BossRushBanner.png,Assets/Art/UI/Generated/BossRushBanner/,Assets/Art/UI/Generated/BossRushBanner/ui_BossRushBanner__05_NextThemeText_bg.png,下赛季预告,`NextThemeText`,125,300,620,42,ui_BossRushBanner__05_NextThemeText_bg.png,false,false,true,false,现有节点命中,NextThemeText,TopCenter,"620,42","-105,639",保留 TMP/按钮文字动态层；只切底板、图标或装饰,文字不烘焙进切图，继续由 TMP/脚本字段驱动
BossRushBanner#06,BossRushBanner,Assets/Prefabs/UI/Panels/BossRushBanner.prefab,docs/BossRushBanner/ui_asset_slicing_backflow_BossRushBanner.md,docs/BossRushBanner/ui_layout_prototype_BossRushBanner.png,Assets/Art/UI/Generated/BossRushBanner/,Assets/Art/UI/Generated/BossRushBanner/ui_BossRushBanner__06_KilledText_bg.png,击杀闪光层,`KilledFlash/KilledText`,760,160,210,150,ui_BossRushBanner__06_KilledText_bg.png,false,false,true,false,现有节点命中,KilledFlash、KilledText,TopRight,"210,150","325,725",保留 TMP/按钮文字动态层；只切底板、图标或装饰,文字不烘焙进切图，继续由 TMP/脚本字段驱动
